
2025/06/26 (10:05:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/26 (13:04:03) | ===> btop++ v.1.4.0
2025/06/26 (13:04:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/26 (13:04:10) | WARNING: Failed to join _runner thread on exit!

2025/06/26 (13:04:11) | ===> btop++ v.1.4.0
2025/06/26 (13:04:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/26 (13:04:28) | WARNING: Failed to join _runner thread on exit!

2025/06/26 (15:12:57) | ===> btop++ v.1.4.0
2025/06/26 (15:12:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/26 (15:13:04) | WARNING: Failed to join _runner thread on exit!

2025/06/26 (15:13:16) | ===> btop++ v.1.4.0
2025/06/26 (15:13:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/26 (15:13:24) | WARNING: Failed to join _runner thread on exit!

2025/06/26 (15:16:40) | ===> btop++ v.1.4.0
2025/06/26 (15:16:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/26 (19:36:49) | ===> btop++ v.1.4.0
2025/06/26 (19:36:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/26 (19:36:58) | WARNING: Failed to join _runner thread on exit!

2025/06/26 (20:46:30) | ===> btop++ v.1.4.0
2025/06/26 (20:46:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/26 (20:47:18) | WARNING: Failed to join _runner thread on exit!

2025/06/27 (19:36:49) | ===> btop++ v.1.4.0
2025/06/27 (19:36:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/27 (19:38:07) | WARNING: Failed to join _runner thread on exit!

2025/06/28 (10:57:43) | ===> btop++ v.1.4.0
2025/06/28 (10:57:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/28 (10:57:58) | WARNING: Failed to join _runner thread on exit!

2025/06/29 (21:40:42) | ===> btop++ v.1.4.0
2025/06/29 (21:40:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/29 (21:42:21) | WARNING: Failed to join _runner thread on exit!

2025/06/30 (15:47:05) | ===> btop++ v.1.4.0
2025/06/30 (15:47:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/30 (15:47:17) | WARNING: Failed to join _runner thread on exit!

2025/06/30 (16:20:42) | ===> btop++ v.1.4.0
2025/06/30 (16:20:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/01 (18:32:46) | ===> btop++ v.1.4.0
2025/07/01 (18:32:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/01 (18:33:09) | WARNING: Failed to join _runner thread on exit!

2025/07/01 (19:37:59) | ===> btop++ v.1.4.0
2025/07/01 (19:37:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/01 (19:56:10) | WARNING: Failed to join _runner thread on exit!

2025/07/01 (19:56:50) | ===> btop++ v.1.4.0
2025/07/01 (19:56:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/01 (19:56:56) | WARNING: Failed to join _runner thread on exit!

2025/07/02 (21:17:52) | ===> btop++ v.1.4.0
2025/07/02 (21:17:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/02 (21:17:56) | WARNING: Failed to join _runner thread on exit!

2025/07/02 (21:18:05) | ===> btop++ v.1.4.0
2025/07/02 (21:18:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/02 (21:18:09) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (09:06:00) | ===> btop++ v.1.4.0
2025/07/03 (09:06:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (09:06:22) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (10:01:07) | ===> btop++ v.1.4.0
2025/07/03 (10:01:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (11:47:05) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (11:48:20) | ===> btop++ v.1.4.0
2025/07/03 (11:48:20) | WARNING: Intel GPU: Failed to initialize PMU

